Video Name,Frame Number,Point 1 X,Point 1 Y,Point 2 X,Point 2 Y
V,0,903,620,,
V,0,903,620,2452,422
V,0,903,620,2452,422
V,0,1289,882,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,2291,628
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,2291,628
V,0,1445,812,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,2291,628
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,903,620,2452,422
V,0,1289,882,,
V,0,903,620,2452,422
V,0,903,620,,
V,0,797,649,,
V,0,797,649,1139,497
V,0,797,649,1139,497
V,0,1211,652,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
